                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   192522981 |  1756486738 |  1758022377 |    48937094 |   192523152 |  1759368638 |  1755140700 |    48937094 |   192522479 |  1757910289 |  1756596737 |    48937094 |   192522733 |  1758225970 |  1756279845 |    48937094
  Cycles                             |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600 |  2343989600
  IPC                                |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02
  Time (ns)                          |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400 |   585997400
  Idle time (ns)                     |   558681044 |    32447009 |    32498536 |   579156286 |   558681234 |    31170598 |    31988865 |   579155755 |   558688209 |    31444057 |    31777962 |   579157143 |   558686172 |    32501174 |    32356818 |   579153446
  Idle time (%)                      |       95.3% |        5.5% |        5.5% |       98.8% |       95.3% |        5.3% |        5.5% |       98.8% |       95.3% |        5.4% |        5.4% |       98.8% |       95.3% |        5.5% |        5.5% |       98.8%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10922689 |   150492466 |   150841020 |     2960682 |    10923039 |   150884455 |   150445513 |     2960854 |    10922861 |   150799953 |   150526125 |     2960682 |    10923017 |   150838323 |   150482945 |     2960623
  num incorrect                      |      216387 |     2774521 |     2783459 |        7966 |      216016 |     2792221 |     2769470 |        7794 |      216170 |     2779461 |     2785737 |        7966 |      216059 |     2784874 |     2784983 |        8025
  misprediction rate                 |       1.94% |       1.81% |       1.81% |       0.27% |       1.94% |       1.82% |       1.81% |       0.26% |       1.94% |       1.81% |       1.82% |       0.27% |       1.94% |       1.81% |       1.82% |       0.27%
  mpki                               |        1.12 |        1.58 |        1.58 |        0.16 |        1.12 |        1.59 |        1.58 |        0.16 |        1.12 |        1.58 |        1.59 |        0.16 |        1.12 |        1.58 |        1.59 |        0.16
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    23486485 |   143007384 |   143224802 |     5562588 |    23486467 |   143334029 |   142898213 |     5562588 |    23486448 |   143200170 |   143031812 |     5562588 |    23486485 |   143248411 |   142983411 |     5562588
    num misses                       |        1405 |          73 |          75 |          91 |         607 |          75 |          73 |         106 |         621 |          75 |          66 |         102 |         645 |          75 |          66 |         103
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    51120513 |   422582985 |   423187041 |    14866913 |    51120583 |   423455631 |   422314504 |    14866913 |    51120414 |   423159347 |   422609858 |    14866913 |    51120506 |   423210967 |   422557848 |    14866913
    num misses                       |       21757 |     1984233 |     2006251 |        4612 |       19352 |     1959543 |     1971230 |        4623 |       18680 |     1963538 |     1986539 |        4617 |       21167 |     1959838 |     1989542 |        4646
    miss rate                        |       0.04% |       0.47% |       0.47% |       0.03% |       0.04% |       0.46% |       0.47% |       0.03% |       0.04% |       0.46% |       0.47% |       0.03% |       0.04% |       0.46% |       0.47% |       0.03%
    mpki                             |        0.11 |        1.13 |        1.14 |        0.09 |        0.10 |        1.11 |        1.12 |        0.09 |        0.10 |        1.12 |        1.13 |        0.09 |        0.11 |        1.11 |        1.13 |        0.09
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       23162 |     1984306 |     2006326 |        4703 |       19959 |     1959618 |     1971303 |        4729 |       19301 |     1963613 |     1986605 |        4719 |       21812 |     1959913 |     1989608 |        4749
    num misses                       |        6206 |       67884 |       64976 |        1459 |        6216 |       82895 |       83059 |        1446 |        6091 |       62485 |       64447 |        1441 |        6145 |       81489 |       97658 |        1450
    miss rate                        |      26.79% |       3.42% |       3.24% |      31.02% |      31.14% |       4.23% |       4.21% |      30.58% |      31.56% |       3.18% |       3.24% |      30.54% |      28.17% |       4.16% |       4.91% |      30.53%
    mpki                             |        0.03 |        0.04 |        0.04 |        0.03 |        0.03 |        0.05 |        0.05 |        0.03 |        0.03 |        0.04 |        0.04 |        0.03 |        0.03 |        0.05 |        0.06 |        0.03
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    23486485 |   143007384 |   143224802 |     5562588 |    23486467 |   143334029 |   142898213 |     5562588 |    23486448 |   143200170 |   143031812 |     5562588 |    23486485 |   143248411 |   142983411 |     5562588
