                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  209145082 |  224902548 |  224943067 |  224930381 |  209145082 |  224902548 |  224940577 |  224932871 |  209145082 |  224902548 |  224940577 |  224932871 |  209145082 |  224902548 |  224943067 |  224930381
  Cycles                             |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200 |  502471200
  IPC                                |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45
  Time (ns)                          |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800 |  125617800
  Idle time (ns)                     |   43435224 |   82208713 |   83077597 |   83064870 |   43449974 |   82212980 |   82927413 |   83006818 |   43568414 |   82188352 |   82929532 |   82988770 |   43492223 |   82331880 |   83213759 |   83060800
  Idle time (%)                      |      34.6% |      65.4% |      66.1% |      66.1% |      34.6% |      65.4% |      66.0% |      66.1% |      34.7% |      65.4% |      66.0% |      66.1% |      34.6% |      65.5% |      66.2% |      66.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32468075 |   13032264 |   13128249 |   13095500 |   32471669 |   13032263 |   13127977 |   13095772 |   32475527 |   13032263 |   13127977 |   13095772 |   32461629 |   13032263 |   13128247 |   13095499
  num incorrect                      |    1848154 |     620624 |     524950 |     557376 |    1844560 |     620625 |     524916 |     557410 |    1840702 |     620625 |     524916 |     557410 |    1854600 |     620625 |     524952 |     557377
  misprediction rate                 |      5.39% |      4.55% |      3.84% |      4.08% |      5.38% |      4.55% |      3.84% |      4.08% |      5.36% |      4.55% |      3.84% |      4.08% |      5.40% |      4.55% |      3.84% |      4.08%
  mpki                               |       8.84 |       2.76 |       2.33 |       2.48 |       8.82 |       2.76 |       2.33 |       2.48 |       8.80 |       2.76 |       2.33 |       2.48 |       8.87 |       2.76 |       2.33 |       2.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30025110 |   31711289 |   31723317 |   31711591 |   30025110 |   31711289 |   31723098 |   31711810 |   30025110 |   31711289 |   31723098 |   31711810 |   30025110 |   31711289 |   31723317 |   31711591
    num misses                       |        135 |         26 |         26 |         26 |        136 |         26 |         26 |         26 |        134 |         26 |         26 |         26 |        134 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   73201598 |   76879478 |   76888322 |   76884674 |   73234345 |   76879478 |   76887317 |   76885679 |   73234345 |   76879478 |   76887317 |   76885679 |   73201598 |   76879478 |   76888322 |   76884674
